name,state,lat,lng,sector_label
Beis Medrash Heichal Dovid,New York,40.596845,-73.751633,Private
Belhaven University,Mississippi,32.318415,-90.169228,Private
Bellarmine University,Kentucky,38.219279,-85.704997,Private
Bellevue College,Washington,47.584014,-122.150118,Public
Bellevue University,Nebraska,41.150225,-95.91764,Private
Bellin College,Wisconsin,44.468277,-87.921722,Private
Bellingham Technical College,Washington,48.766189,-122.51216,Public
Belmont Abbey College,North Carolina,35.260651,-81.041315,Private
Belmont University,Tennessee,36.135589,-86.794807,Private
Beloit College,Wisconsin,42.504022,-89.029285,Private
Bemidji State University,Minnesota,47.482341,-94.874119,Public
Benedict College,South Carolina,34.012941,-81.020403,Private
Benedictine College,Kansas,39.572646,-95.111473,Private
Benedictine University,Illinois,41.777569,-88.097307,Private
Benjamin Franklin Institute of Technology,Massachusetts,42.346023,-71.070231,Private
Bennett College,North Carolina,36.067531,-79.77998,Private
Bennington College,Vermont,42.919547,-73.237799,Private
Bentley University,Massachusetts,42.385995,-71.222839,Private
Berea College,Kentucky,37.57202,-84.292893,Private
Bergin University of Canine Studies,California,38.289155,-122.666954,Private
Berkeley College-New York,New York,40.753986,-73.979458,For-Profit
Berkeley College-Woodland Park,New Jersey,40.898587,-74.189483,For-Profit
Berklee College of Music,Massachusetts,42.346646,-71.089405,Private
Berry College,Georgia,34.290414,-85.189202,Private
Bet Medrash Gadol Ateret Torah,New York,40.607809,-73.969945,Private
Beth Hamedrash Shaarei Yosher Institute,New York,40.635444,-73.981202,Private
Beth Hatalmud Rabbinical College,New York,40.605256,-73.992684,Private
Beth Medrash Govoha,New Jersey,40.09568,-74.2221,Private
Beth Medrash Meor Yitzchok,New York,41.100906,-74.060843,Private
Beth Medrash of Asbury Park,New Jersey,40.043705,-74.210816,Private
Bethany College,Kansas,38.580598,-97.67367,Private
Bethany College,West Virginia,40.205819,-80.560056,Private
Bethany Global University,Minnesota,44.795501,-93.371754,Private
Bethany Lutheran College,Minnesota,44.166649,-93.990805,Private
Bethany Theological Seminary,Indiana,39.826244,-84.910689,Private
Bethel College,Virginia,37.04127,-76.409526,Private
Bethel College-North Newton,Kansas,38.075169,-97.343256,Private
Bethel Seminary-San Diego,California,32.765387,-117.06605,Private
Bethel Seminary-St Paul,Minnesota,45.060071,-93.16318,Private
Bethel University,Indiana,41.678399,-86.194686,Private
Bethel University,Minnesota,45.057655,-93.161663,Private
Bethel University,Tennessee,36.137848,-88.516762,Private
Bethesda University,California,33.842295,-117.941323,Private
Bethlehem College & Seminary,Minnesota,44.968872,-93.255399,Private
Bethune-Cookman University,Florida,29.207195,-81.032946,Private
Beulah Heights University,Georgia,33.736993,-84.35768,Private
Beverly Hills Design Institute,California,34.06463,-118.375621,For-Profit
"Bexley Hall Seabury Western Theological Seminary Federation, Inc.",Illinois,41.785693,-87.591173,Private
Binghamton University,New York,42.087868,-75.966889,Public
Biola University,California,33.906203,-118.014374,Private
Birmingham-Southern College,Alabama,33.513774,-86.850552,Private
Birthingway College of Midwifery,Oregon,45.476809,-122.538471,Private
Bismarck State College,North Dakota,46.821459,-100.816534,Public
Black Hills State University,South Dakota,44.494889,-103.870966,Public
Blackburn College,Illinois,39.287896,-89.870241,Private
Blessing Rieman College of Nursing and Health Sciences,Illinois,39.949641,-91.357497,Private
Bloomfield College,New Jersey,40.795105,-74.194309,Private
Bloomsburg University of Pennsylvania,Pennsylvania,41.00782,-76.447844,Public
Blue Mountain College,Mississippi,34.67209,-89.02924,Private
Bluefield College,Virginia,37.244557,-81.246233,Private
Bluefield State College,West Virginia,37.265732,-81.239037,Public
Bluffton University,Ohio,40.895606,-83.899439,Private
Bob Jones University,South Carolina,34.874016,-82.365838,Private
Boise Bible College,Idaho,43.658651,-116.291321,Private
Boise State University,Idaho,43.604284,-116.203301,Public
Bon Secours Memorial College of Nursing,Virginia,37.646698,-77.433569,Private
Boricua College,New York,40.833434,-73.9458,Private
Boston Architectural College,Massachusetts,42.348467,-71.085786,Private
Boston Baptist College,Massachusetts,42.254037,-71.1103,Private
Boston College,Massachusetts,42.336213,-71.169242,Private
Boston Graduate School of Psychoanalysis Inc,Massachusetts,42.33912,-71.133151,Private
Boston University,Massachusetts,42.351118,-71.107942,Private
Bowdoin College,Maine,43.907134,-69.963942,Private
Bowie State University,Maryland,39.018185,-76.759721,Public
Bowling Green State University-Firelands,Ohio,41.397521,-82.594156,Public
Bowling Green State University-Main Campus,Ohio,41.375513,-83.640896,Public
Bradley University,Illinois,40.696896,-89.616786,Private
Brandeis University,Massachusetts,42.365727,-71.260155,Private
Brandman University,California,33.656401,-117.769012,Private
Brazosport College,Texas,29.048604,-95.40934,Public
Brenau University,Georgia,34.303117,-83.821513,Private
Brescia University,Kentucky,37.769041,-87.111639,Private
Brevard College,North Carolina,35.236763,-82.729494,Private
Brewton-Parker College,Georgia,32.185718,-82.586136,Private
Briar Cliff University,Iowa,42.526443,-96.428444,Private
Bridgewater College,Virginia,38.378484,-78.969007,Private
Bridgewater State University,Massachusetts,41.98749,-70.974553,Public
Brigham Young University-Hawaii,Hawaii,21.642074,-157.926586,Private
Brigham Young University-Idaho,Idaho,43.818408,-111.782431,Private
Brigham Young University-Provo,Utah,40.250851,-111.649281,Private
Brite Divinity School,Texas,32.710145,-97.359137,Private
Broadview University-West Jordan,Utah,40.609883,-111.942296,For-Profit
Brookline College-Albuquerque,New Mexico,35.08781,-106.68749,For-Profit
Brookline College-Phoenix,Arizona,33.566102,-112.112473,For-Profit
Brookline College-Tempe,Arizona,33.4163,-111.961365,For-Profit
Brookline College-Tucson,Arizona,32.207932,-110.876375,For-Profit
Brooklyn Law School,New York,40.691836,-73.989623,Private
Broward College,Florida,26.119422,-80.14183,Public
Brown University,Rhode Island,41.82617,-71.40385,Private
Bryan College of Health Sciences,Nebraska,40.796768,-96.651532,Private
Bryan College-Dayton,Tennessee,35.497209,-84.999552,Private
Bryan University,Arizona,33.437779,-111.944197,For-Profit
Bryan University,Missouri,37.135397,-93.248107,For-Profit
Bryant & Stratton College-Akron,Ohio,41.1282,-81.655095,For-Profit
Bryant & Stratton College-Albany,New York,42.698125,-73.809977,For-Profit
Bryant & Stratton College-Amherst,New York,43.04079,-78.742813,For-Profit
